VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,FullyVaccinated,thirddosedaily,thirddosecumulative,firstboosterdailydose,additionaldosecumulative,fourthdailydose,secondadditionaldosecumulative,fullyvaccinatedcumulative
12/14/2020 10:00,Anne Arundel,4,4,,0,,0,,,0,,0,,0,0
12/14/2020 10:00,Baltimore,2,2,,0,,0,,,0,,0,,0,0
12/14/2020 10:00,Baltimore City,,0,1,1,,0,1,,0,,0,,0,1
12/14/2020 10:00,Carroll,1,1,,0,,0,,,0,,0,,0,0
12/14/2020 10:00,Frederick,1,1,1,1,,0,1,,0,,0,,0,1
12/14/2020 10:00,Howard,5,5,,0,,0,,,0,,0,,0,0
12/14/2020 10:00,Montgomery,8,8,,0,,0,,,0,,0,,0,0
12/14/2020 10:00,Prince Georges,2,2,,0,,0,,,0,,0,,0,0
12/14/2020 10:00,Unknown,1,1,,0,,0,,,0,,0,,0,0
12/14/2020 10:00,Wicomico,1,1,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Anne Arundel,4,8,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Baltimore,9,11,2,2,,0,2,,0,,0,,0,2
12/15/2020 10:00,Baltimore City,9,9,,1,,0,,,0,,0,,0,1
12/15/2020 10:00,Calvert,2,2,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Carroll,1,2,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Cecil,1,1,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Charles,1,1,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Dorchester,3,3,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Frederick,10,11,,1,,0,,,0,,0,,0,1
12/15/2020 10:00,Howard,6,11,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Montgomery,41,49,1,1,,0,1,,0,,0,,0,1
12/15/2020 10:00,Prince Georges,13,15,1,1,,0,1,,0,,0,,0,1
12/15/2020 10:00,Queen Annes,2,2,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Talbot,1,1,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Unknown,7,8,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Washington,2,2,,0,,0,,,0,,0,,0,0
12/15/2020 10:00,Worcester,4,4,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Allegany,3,3,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Anne Arundel,72,80,1,1,,0,1,,0,,0,,0,1
12/16/2020 10:00,Baltimore,132,143,1,3,,0,1,,0,,0,,0,3
12/16/2020 10:00,Baltimore City,159,168,1,2,,0,1,,0,,0,,0,2
12/16/2020 10:00,Calvert,4,6,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Caroline,1,1,1,1,,0,1,,0,,0,,0,1
12/16/2020 10:00,Carroll,11,13,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Cecil,3,4,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Charles,14,15,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Dorchester,6,9,,0,,0,,,0,,0,,0,0
12/16/2020 10:00,Frederick,8,19,2,3,,0,2,,0,,0,,0,3
